incident_id,bias_id
43,0
47,0
3015,0
2,0
5,0
7,0
8,0
10,0
12,0
13,0
17,0
18,0
20,0
22,0
23,0
24,0
25,0
27,0
31,0
32,0
35,0
36,0
38,0
3008,0
3011,0
3013,0
48,0
52,0
55,0
56,0
57,0
62,0
68,0
70,0
74,0
75,0
78,0
82,0
84,0
86,0
88,0
89,0
97,0
98,0
99,0
100,0
101,0
114,0
2756,0
2758,0
2759,0
2760,0
2761,0
2765,0
2769,0
2770,0
2774,0
2775,0
2776,0
2777,0
2779,0
2781,0
2788,0
2791,0
2792,0
2867,0
2868,0
2869,0
3023,0
3024,0
3026,0
3028,0
3031,0
3033,0
3034,0
3035,0
3036,0
3039,0
119,0
121,0
123,0
124,0
127,0
130,0
131,0
135,0
136,0
138,0
140,0
143,0
145,0
148,0
2871,0
2872,0
2878,0
2882,0
2884,0
2889,0
2890,0
2891,0
2892,0
2894,0
2896,0
2900,0
2901,0
197,0
159,0
180,0
182,0
187,0
189,0
230,0
233,0
235,0
237,0
240,0
357,0
358,0
360,0
377,0
378,0
379,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
390,0
392,0
393,0
2957,0
2958,0
2961,0
2963,0
2964,0
2966,0
2967,0
2968,0
2969,0
2970,0
2971,0
2972,0
2973,0
2974,0
2975,0
2976,0
2977,0
2978,0
2980,0
2981,0
2983,0
2985,0
166,0
178,0
179,0
259,0
260,0
267,0
274,0
275,0
198,0
199,0
206,0
214,0
241,0
242,0
243,0
246,0
247,0
257,0
283,0
290,0
292,0
293,0
297,0
299,0
305,0
307,0
309,0
318,0
319,0
326,0
336,0
338,0
346,0
347,0
348,0
349,0
350,0
351,0
353,0
354,0
355,0
2909,0
2914,0
2928,0
2930,0
2932,0
2936,0
2942,0
2943,0
405,0
406,0
637,0
642,0
656,0
660,0
663,0
680,0
681,0
685,0
688,0
691,0
697,0
700,0
704,0
708,0
709,0
710,0
712,0
714,0
725,0
738,0
745,0
746,0
749,0
751,0
752,0
3050,0
3053,0
3055,0
3058,0
3229,0
3233,0
3247,0
3248,0
3254,0
3256,0
3260,0
3263,0
3270,0
3273,0
3274,0
3275,0
3279,0
3282,0
3288,0
3293,0
409,0
411,0
413,0
416,0
417,0
424,0
427,0
428,0
429,0
430,0
434,0
438,0
439,0
441,0
443,0
444,0
447,0
449,0
453,0
455,0
456,0
457,0
458,0
460,0
461,0
462,0
463,0
464,0
466,0
469,0
470,0
472,0
473,0
474,0
475,0
477,0
478,0
480,0
483,0
484,0
486,0
491,0
492,0
493,0
495,0
496,0
497,0
498,0
499,0
502,0
503,0
507,0
508,0
509,0
510,0
511,0
513,0
515,0
516,0
517,0
518,0
519,0
521,0
522,0
524,0
528,0
529,0
531,0
532,0
533,0
534,0
535,0
539,0
544,0
546,0
547,0
548,0
557,0
558,0
566,0
572,0
583,0
584,0
585,0
590,0
602,0
605,0
607,0
611,0
614,0
623,0
624,0
629,0
630,0
631,0
632,0
633,0
635,0
2794,0
2796,0
2797,0
2802,0
2806,0
2808,0
2813,0
2814,0
2815,0
2816,0
2818,0
2819,0
2821,0
2823,0
2825,0
2826,0
2828,0
2829,0
2830,0
2833,0
2835,0
2836,0
2838,0
2842,0
2843,0
2845,0
2846,0
